fecha,valor,indicator,region
2019-05-31T00:00:00.000+02:00,720746.446,Demanda,peninsular
2019-06-01T00:00:00.000+02:00,657113.804,Demanda,peninsular
2019-06-02T00:00:00.000+02:00,610135.227,Demanda,peninsular
2019-06-03T00:00:00.000+02:00,727199.819,Demanda,peninsular
2019-06-04T00:00:00.000+02:00,743803.929,Demanda,peninsular
2019-06-05T00:00:00.000+02:00,728013.427,Demanda,peninsular
2019-06-06T00:00:00.000+02:00,718987.495,Demanda,peninsular
2019-06-07T00:00:00.000+02:00,716146.113,Demanda,peninsular
2019-06-08T00:00:00.000+02:00,649114.105,Demanda,peninsular
2019-06-09T00:00:00.000+02:00,598266.091,Demanda,peninsular
2019-06-10T00:00:00.000+02:00,692985.625,Demanda,peninsular
2019-06-11T00:00:00.000+02:00,717613.036,Demanda,peninsular
2019-06-12T00:00:00.000+02:00,721685.017,Demanda,peninsular
2019-06-13T00:00:00.000+02:00,725139.71,Demanda,peninsular
2019-06-14T00:00:00.000+02:00,720698.739,Demanda,peninsular
2019-06-15T00:00:00.000+02:00,649826.641,Demanda,peninsular
2019-06-16T00:00:00.000+02:00,600853.162,Demanda,peninsular
2019-06-17T00:00:00.000+02:00,714625.455,Demanda,peninsular
2019-06-18T00:00:00.000+02:00,736896.725,Demanda,peninsular
2019-06-19T00:00:00.000+02:00,741912.133,Demanda,peninsular
2019-06-20T00:00:00.000+02:00,735488.271,Demanda,peninsular
2019-06-21T00:00:00.000+02:00,732798.844,Demanda,peninsular
2019-06-22T00:00:00.000+02:00,672993.652,Demanda,peninsular
2019-06-23T00:00:00.000+02:00,623379.646,Demanda,peninsular
2019-06-24T00:00:00.000+02:00,688002.526,Demanda,peninsular
2019-06-25T00:00:00.000+02:00,765220.281,Demanda,peninsular
2019-06-26T00:00:00.000+02:00,792832.45,Demanda,peninsular
2019-06-27T00:00:00.000+02:00,807875.011,Demanda,peninsular
2019-06-28T00:00:00.000+02:00,821152.543,Demanda,peninsular
2019-06-29T00:00:00.000+02:00,751724.535,Demanda,peninsular
2019-06-30T00:00:00.000+02:00,696474.637,Demanda,peninsular
2019-07-01T00:00:00.000+02:00,805062.314,Demanda,peninsular
2019-07-02T00:00:00.000+02:00,817750.686,Demanda,peninsular
2019-07-03T00:00:00.000+02:00,814766.368,Demanda,peninsular
2019-07-04T00:00:00.000+02:00,813934.525,Demanda,peninsular
2019-07-05T00:00:00.000+02:00,816024.974,Demanda,peninsular
2019-07-06T00:00:00.000+02:00,738401.275,Demanda,peninsular
2019-07-07T00:00:00.000+02:00,686379.684,Demanda,peninsular
2019-07-08T00:00:00.000+02:00,783297.789,Demanda,peninsular
2019-07-09T00:00:00.000+02:00,782095.233,Demanda,peninsular
2019-07-10T00:00:00.000+02:00,792718.173,Demanda,peninsular
2019-07-11T00:00:00.000+02:00,821250.349,Demanda,peninsular
2019-07-12T00:00:00.000+02:00,828876.825,Demanda,peninsular
2019-07-13T00:00:00.000+02:00,739065.225,Demanda,peninsular
2019-07-14T00:00:00.000+02:00,667289.338,Demanda,peninsular
2019-07-15T00:00:00.000+02:00,796026.561,Demanda,peninsular
2019-07-16T00:00:00.000+02:00,810257.077,Demanda,peninsular
2019-07-17T00:00:00.000+02:00,805414.836,Demanda,peninsular
2019-07-18T00:00:00.000+02:00,808118.682,Demanda,peninsular
2019-07-19T00:00:00.000+02:00,818254.951,Demanda,peninsular
2019-07-20T00:00:00.000+02:00,744167.851,Demanda,peninsular
2019-07-21T00:00:00.000+02:00,691903.017,Demanda,peninsular
2019-07-22T00:00:00.000+02:00,836080.36,Demanda,peninsular
2019-07-23T00:00:00.000+02:00,857696.956,Demanda,peninsular
2019-07-24T00:00:00.000+02:00,860191.27,Demanda,peninsular
