fecha,valor,indicator,region,año
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,cataluña,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,cataluña,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,cataluña,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,cataluña,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,cataluña,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,cataluña,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,cataluña,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,pais vasco,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,pais vasco,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,pais vasco,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,pais vasco,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,pais vasco,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,pais vasco,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,pais vasco,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,pais vasco,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,pais vasco,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,pais vasco,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,pais vasco,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,pais vasco,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,principado de asturias,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,principado de asturias,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,principado de asturias,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,principado de asturias,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,principado de asturias,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,principado de asturias,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,principado de asturias,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,principado de asturias,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,principado de asturias,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,principado de asturias,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,principado de asturias,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,principado de asturias,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,comunidad de madrid,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,comunidad de madrid,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,comunidad de madrid,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,comunidad de madrid,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,comunidad de madrid,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,comunidad de madrid,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,comunidad de madrid,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,comunidad de madrid,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,comunidad de madrid,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,comunidad de madrid,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,comunidad de madrid,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,comunidad de madrid,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,comunidad de navarra,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,comunidad de navarra,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,comunidad de navarra,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,comunidad de navarra,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,comunidad de navarra,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,comunidad de navarra,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,comunidad de navarra,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,comunidad de navarra,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,comunidad de navarra,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,comunidad de navarra,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,comunidad de navarra,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,comunidad de navarra,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,comunidad de valenciana,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,comunidad de valenciana,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,comunidad de valenciana,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,comunidad de valenciana,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,comunidad de valenciana,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,comunidad de valenciana,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,comunidad de valenciana,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,comunidad de valenciana,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,comunidad de valenciana,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,comunidad de valenciana,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,comunidad de valenciana,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,comunidad de valenciana,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,extremadura,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,extremadura,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,extremadura,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,extremadura,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,extremadura,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,extremadura,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,extremadura,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,extremadura,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,extremadura,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,extremadura,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,extremadura,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,extremadura,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,galicia,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,galicia,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,galicia,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,galicia,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,galicia,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,galicia,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,galicia,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,galicia,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,galicia,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,galicia,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,galicia,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,galicia,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,la rioja,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,la rioja,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,la rioja,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,la rioja,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,la rioja,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,la rioja,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,la rioja,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,la rioja,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,la rioja,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,la rioja,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,la rioja,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,la rioja,2019
2019-01-01T00:00:00.000+01:00,24566154.547,Demanda,region de murcia,2019
2019-02-01T00:00:00.000+01:00,21280529.205,Demanda,region de murcia,2019
2019-03-01T00:00:00.000+01:00,21935545.636,Demanda,region de murcia,2019
2019-04-01T00:00:00.000+02:00,20692209.649,Demanda,region de murcia,2019
2019-05-01T00:00:00.000+02:00,21134292.129,Demanda,region de murcia,2019
2019-06-01T00:00:00.000+02:00,21258958.649,Demanda,region de murcia,2019
2019-07-01T00:00:00.000+02:00,24223991.17,Demanda,region de murcia,2019
2019-08-01T00:00:00.000+02:00,22710929.179,Demanda,region de murcia,2019
2019-09-01T00:00:00.000+02:00,21297712.005,Demanda,region de murcia,2019
2019-10-01T00:00:00.000+02:00,21454847.17,Demanda,region de murcia,2019
2019-11-01T00:00:00.000+01:00,21997760.931,Demanda,region de murcia,2019
2019-12-01T00:00:00.000+01:00,22110920.732,Demanda,region de murcia,2019
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,peninsular,2020
2020-02-01T00:00:00.000+01:00,20980969.957,Demanda,peninsular,2020
2020-03-01T00:00:00.000+01:00,20926733.362,Demanda,peninsular,2020
2020-04-01T00:00:00.000+02:00,17060911.994,Demanda,peninsular,2020
2020-05-01T00:00:00.000+02:00,18308083.84,Demanda,peninsular,2020
2020-06-01T00:00:00.000+02:00,19358582.116,Demanda,peninsular,2020
2020-07-01T00:00:00.000+02:00,23194421.105,Demanda,peninsular,2020
2020-08-01T00:00:00.000+02:00,22065111.348,Demanda,peninsular,2020
2020-09-01T00:00:00.000+02:00,20498509.843,Demanda,peninsular,2020
2020-10-01T00:00:00.000+02:00,20693485.205,Demanda,peninsular,2020
2020-11-01T00:00:00.000+01:00,20698566.523,Demanda,peninsular,2020
2020-12-01T00:00:00.000+01:00,22438961.596,Demanda,peninsular,2020
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,canarias,2020
2020-02-01T00:00:00.000+01:00,20980969.957,Demanda,canarias,2020
2020-03-01T00:00:00.000+01:00,20926733.362,Demanda,canarias,2020
2020-04-01T00:00:00.000+02:00,17060911.994,Demanda,canarias,2020
2020-05-01T00:00:00.000+02:00,18308083.84,Demanda,canarias,2020
2020-06-01T00:00:00.000+02:00,19358582.116,Demanda,canarias,2020
2020-07-01T00:00:00.000+02:00,23194421.105,Demanda,canarias,2020
2020-08-01T00:00:00.000+02:00,22065111.348,Demanda,canarias,2020
2020-09-01T00:00:00.000+02:00,20498509.843,Demanda,canarias,2020
2020-10-01T00:00:00.000+02:00,20693485.205,Demanda,canarias,2020
2020-11-01T00:00:00.000+01:00,20698566.523,Demanda,canarias,2020
2020-12-01T00:00:00.000+01:00,22438961.596,Demanda,canarias,2020
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,baleares,2020
2020-02-01T00:00:00.000+01:00,20980969.957,Demanda,baleares,2020
2020-03-01T00:00:00.000+01:00,20926733.362,Demanda,baleares,2020
2020-04-01T00:00:00.000+02:00,17060911.994,Demanda,baleares,2020
2020-05-01T00:00:00.000+02:00,18308083.84,Demanda,baleares,2020
2020-06-01T00:00:00.000+02:00,19358582.116,Demanda,baleares,2020
2020-07-01T00:00:00.000+02:00,23194421.105,Demanda,baleares,2020
2020-08-01T00:00:00.000+02:00,22065111.348,Demanda,baleares,2020
2020-09-01T00:00:00.000+02:00,20498509.843,Demanda,baleares,2020
2020-10-01T00:00:00.000+02:00,20693485.205,Demanda,baleares,2020
2020-11-01T00:00:00.000+01:00,20698566.523,Demanda,baleares,2020
2020-12-01T00:00:00.000+01:00,22438961.596,Demanda,baleares,2020
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,ceuta,2020
2020-02-01T00:00:00.000+01:00,20980969.957,Demanda,ceuta,2020
2020-03-01T00:00:00.000+01:00,20926733.362,Demanda,ceuta,2020
2020-04-01T00:00:00.000+02:00,17060911.994,Demanda,ceuta,2020
2020-05-01T00:00:00.000+02:00,18308083.84,Demanda,ceuta,2020
2020-06-01T00:00:00.000+02:00,19358582.116,Demanda,ceuta,2020
2020-07-01T00:00:00.000+02:00,23194421.105,Demanda,ceuta,2020
2020-08-01T00:00:00.000+02:00,22065111.348,Demanda,ceuta,2020
2020-09-01T00:00:00.000+02:00,20498509.843,Demanda,ceuta,2020
2020-10-01T00:00:00.000+02:00,20693485.205,Demanda,ceuta,2020
2020-11-01T00:00:00.000+01:00,20698566.523,Demanda,ceuta,2020
2020-12-01T00:00:00.000+01:00,22438961.596,Demanda,ceuta,2020
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,melilla,2020
2020-02-01T00:00:00.000+01:00,20980969.957,Demanda,melilla,2020
2020-03-01T00:00:00.000+01:00,20926733.362,Demanda,melilla,2020
2020-04-01T00:00:00.000+02:00,17060911.994,Demanda,melilla,2020
2020-05-01T00:00:00.000+02:00,18308083.84,Demanda,melilla,2020
2020-06-01T00:00:00.000+02:00,19358582.116,Demanda,melilla,2020
2020-07-01T00:00:00.000+02:00,23194421.105,Demanda,melilla,2020
2020-08-01T00:00:00.000+02:00,22065111.348,Demanda,melilla,2020
2020-09-01T00:00:00.000+02:00,20498509.843,Demanda,melilla,2020
2020-10-01T00:00:00.000+02:00,20693485.205,Demanda,melilla,2020
2020-11-01T00:00:00.000+01:00,20698566.523,Demanda,melilla,2020
2020-12-01T00:00:00.000+01:00,22438961.596,Demanda,melilla,2020
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,andalucia,2020
2020-02-01T00:00:00.000+01:00,20980969.957,Demanda,andalucia,2020
2020-03-01T00:00:00.000+01:00,20926733.362,Demanda,andalucia,2020
2020-04-01T00:00:00.000+02:00,17060911.994,Demanda,andalucia,2020
2020-05-01T00:00:00.000+02:00,18308083.84,Demanda,andalucia,2020
2020-06-01T00:00:00.000+02:00,19358582.116,Demanda,andalucia,2020
2020-07-01T00:00:00.000+02:00,23194421.105,Demanda,andalucia,2020
2020-08-01T00:00:00.000+02:00,22065111.348,Demanda,andalucia,2020
2020-09-01T00:00:00.000+02:00,20498509.843,Demanda,andalucia,2020
2020-10-01T00:00:00.000+02:00,20693485.205,Demanda,andalucia,2020
2020-11-01T00:00:00.000+01:00,20698566.523,Demanda,andalucia,2020
2020-12-01T00:00:00.000+01:00,22438961.596,Demanda,andalucia,2020
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,aragon,2020
2020-02-01T00:00:00.000+01:00,20980969.957,Demanda,aragon,2020
2020-03-01T00:00:00.000+01:00,20926733.362,Demanda,aragon,2020
2020-04-01T00:00:00.000+02:00,17060911.994,Demanda,aragon,2020
2020-05-01T00:00:00.000+02:00,18308083.84,Demanda,aragon,2020
2020-06-01T00:00:00.000+02:00,19358582.116,Demanda,aragon,2020
2020-07-01T00:00:00.000+02:00,23194421.105,Demanda,aragon,2020
2020-08-01T00:00:00.000+02:00,22065111.348,Demanda,aragon,2020
2020-09-01T00:00:00.000+02:00,20498509.843,Demanda,aragon,2020
2020-10-01T00:00:00.000+02:00,20693485.205,Demanda,aragon,2020
2020-11-01T00:00:00.000+01:00,20698566.523,Demanda,aragon,2020
2020-12-01T00:00:00.000+01:00,22438961.596,Demanda,aragon,2020
2020-01-01T00:00:00.000+01:00,23826282.724,Demanda,cantabria,2020
2020-02-01T00:00:00.000+01:00,20980969.957,Demanda,cantabria,2020
