datetime,value,indicator,group,region,subregion
2019-04-23T00:00:00.000+02:00,60092.265,Hidráulica,Renovable,ccaa,region de murcia
2019-04-24T00:00:00.000+02:00,59195.278,Hidráulica,Renovable,ccaa,region de murcia
2019-04-25T00:00:00.000+02:00,61237.828,Hidráulica,Renovable,ccaa,region de murcia
2019-04-26T00:00:00.000+02:00,72762.566,Hidráulica,Renovable,ccaa,region de murcia
2019-04-27T00:00:00.000+02:00,71665.25,Hidráulica,Renovable,ccaa,region de murcia
2019-04-28T00:00:00.000+02:00,63891.766,Hidráulica,Renovable,ccaa,region de murcia
2019-04-29T00:00:00.000+02:00,79309.222,Hidráulica,Renovable,ccaa,region de murcia
2019-04-30T00:00:00.000+02:00,79043.951,Hidráulica,Renovable,ccaa,region de murcia
2019-05-01T00:00:00.000+02:00,65790.781,Hidráulica,Renovable,ccaa,region de murcia
2019-05-02T00:00:00.000+02:00,60145.885,Hidráulica,Renovable,ccaa,region de murcia
2019-05-03T00:00:00.000+02:00,62890.086,Hidráulica,Renovable,ccaa,region de murcia
2019-05-04T00:00:00.000+02:00,61320.945,Hidráulica,Renovable,ccaa,region de murcia
2019-05-05T00:00:00.000+02:00,54024.643,Hidráulica,Renovable,ccaa,region de murcia
2019-05-06T00:00:00.000+02:00,73665.167,Hidráulica,Renovable,ccaa,region de murcia
2019-05-07T00:00:00.000+02:00,64011.313,Hidráulica,Renovable,ccaa,region de murcia
2019-05-08T00:00:00.000+02:00,54963.716,Hidráulica,Renovable,ccaa,region de murcia
2019-05-09T00:00:00.000+02:00,63183.312,Hidráulica,Renovable,ccaa,region de murcia
2019-05-10T00:00:00.000+02:00,72405.099,Hidráulica,Renovable,ccaa,region de murcia
2019-05-11T00:00:00.000+02:00,64702.823,Hidráulica,Renovable,ccaa,region de murcia
2019-05-12T00:00:00.000+02:00,55055.521,Hidráulica,Renovable,ccaa,region de murcia
2019-05-13T00:00:00.000+02:00,60718.191,Hidráulica,Renovable,ccaa,region de murcia
2019-05-14T00:00:00.000+02:00,64041.88,Hidráulica,Renovable,ccaa,region de murcia
2019-05-15T00:00:00.000+02:00,69272.652,Hidráulica,Renovable,ccaa,region de murcia
2019-05-16T00:00:00.000+02:00,62899.421,Hidráulica,Renovable,ccaa,region de murcia
2019-05-17T00:00:00.000+02:00,60631.528,Hidráulica,Renovable,ccaa,region de murcia
2019-05-18T00:00:00.000+02:00,59441.201,Hidráulica,Renovable,ccaa,region de murcia
2019-05-19T00:00:00.000+02:00,55578.994,Hidráulica,Renovable,ccaa,region de murcia
2019-05-20T00:00:00.000+02:00,67545.69,Hidráulica,Renovable,ccaa,region de murcia
2019-05-21T00:00:00.000+02:00,71209.292,Hidráulica,Renovable,ccaa,region de murcia
2019-05-22T00:00:00.000+02:00,69398.246,Hidráulica,Renovable,ccaa,region de murcia
2019-05-23T00:00:00.000+02:00,63438.745,Hidráulica,Renovable,ccaa,region de murcia
2019-05-24T00:00:00.000+02:00,62559.649,Hidráulica,Renovable,ccaa,region de murcia
2019-05-25T00:00:00.000+02:00,60768.033,Hidráulica,Renovable,ccaa,region de murcia
2019-05-26T00:00:00.000+02:00,58032.001,Hidráulica,Renovable,ccaa,region de murcia
2019-05-27T00:00:00.000+02:00,61808.632,Hidráulica,Renovable,ccaa,region de murcia
2019-05-28T00:00:00.000+02:00,56754.222,Hidráulica,Renovable,ccaa,region de murcia
2019-05-29T00:00:00.000+02:00,57183.699,Hidráulica,Renovable,ccaa,region de murcia
2019-05-30T00:00:00.000+02:00,57605.918,Hidráulica,Renovable,ccaa,region de murcia
2019-05-31T00:00:00.000+02:00,64320.3,Hidráulica,Renovable,ccaa,region de murcia
2019-06-01T00:00:00.000+02:00,56254.449,Hidráulica,Renovable,ccaa,region de murcia
2019-06-02T00:00:00.000+02:00,51465.516,Hidráulica,Renovable,ccaa,region de murcia
2019-06-03T00:00:00.000+02:00,59856.073,Hidráulica,Renovable,ccaa,region de murcia
2019-06-04T00:00:00.000+02:00,52352.923,Hidráulica,Renovable,ccaa,region de murcia
2019-06-05T00:00:00.000+02:00,58058.208,Hidráulica,Renovable,ccaa,region de murcia
2019-06-06T00:00:00.000+02:00,55199.435,Hidráulica,Renovable,ccaa,region de murcia
2019-06-07T00:00:00.000+02:00,60463.371,Hidráulica,Renovable,ccaa,region de murcia
2019-06-08T00:00:00.000+02:00,50295.851,Hidráulica,Renovable,ccaa,region de murcia
2019-06-09T00:00:00.000+02:00,50135.334,Hidráulica,Renovable,ccaa,region de murcia
2019-06-10T00:00:00.000+02:00,48870.419,Hidráulica,Renovable,ccaa,region de murcia
2019-06-11T00:00:00.000+02:00,54506.872,Hidráulica,Renovable,ccaa,region de murcia
2019-06-12T00:00:00.000+02:00,55155.489,Hidráulica,Renovable,ccaa,region de murcia
2019-06-13T00:00:00.000+02:00,44545.289,Hidráulica,Renovable,ccaa,region de murcia
2019-06-14T00:00:00.000+02:00,48348.787,Hidráulica,Renovable,ccaa,region de murcia
2019-06-15T00:00:00.000+02:00,45666.576,Hidráulica,Renovable,ccaa,region de murcia
2019-06-16T00:00:00.000+02:00,48807.575,Hidráulica,Renovable,ccaa,region de murcia
2019-06-17T00:00:00.000+02:00,55000.143,Hidráulica,Renovable,ccaa,region de murcia
2019-06-18T00:00:00.000+02:00,46470.206,Hidráulica,Renovable,ccaa,region de murcia
2019-06-19T00:00:00.000+02:00,62466.912,Hidráulica,Renovable,ccaa,region de murcia
2019-06-20T00:00:00.000+02:00,55410.277,Hidráulica,Renovable,ccaa,region de murcia
2019-06-21T00:00:00.000+02:00,61193.978,Hidráulica,Renovable,ccaa,region de murcia
2019-06-22T00:00:00.000+02:00,49615.94,Hidráulica,Renovable,ccaa,region de murcia
2019-06-23T00:00:00.000+02:00,47906.34,Hidráulica,Renovable,ccaa,region de murcia
2019-06-24T00:00:00.000+02:00,53653.303,Hidráulica,Renovable,ccaa,region de murcia
2019-06-25T00:00:00.000+02:00,66842.34,Hidráulica,Renovable,ccaa,region de murcia
2019-06-26T00:00:00.000+02:00,61690.735,Hidráulica,Renovable,ccaa,region de murcia
2019-06-27T00:00:00.000+02:00,57634.725,Hidráulica,Renovable,ccaa,region de murcia
2019-06-28T00:00:00.000+02:00,67458.405,Hidráulica,Renovable,ccaa,region de murcia
2019-06-29T00:00:00.000+02:00,51350.233,Hidráulica,Renovable,ccaa,region de murcia
2019-06-30T00:00:00.000+02:00,50227.272,Hidráulica,Renovable,ccaa,region de murcia
2019-07-01T00:00:00.000+02:00,61219.397,Hidráulica,Renovable,ccaa,region de murcia
2019-07-02T00:00:00.000+02:00,55884.912,Hidráulica,Renovable,ccaa,region de murcia
2019-07-03T00:00:00.000+02:00,58365.793,Hidráulica,Renovable,ccaa,region de murcia
2019-07-04T00:00:00.000+02:00,58719.565,Hidráulica,Renovable,ccaa,region de murcia
2019-07-05T00:00:00.000+02:00,74470.48,Hidráulica,Renovable,ccaa,region de murcia
2019-07-06T00:00:00.000+02:00,47373.596,Hidráulica,Renovable,ccaa,region de murcia
2019-07-07T00:00:00.000+02:00,41384.762,Hidráulica,Renovable,ccaa,region de murcia
2019-07-08T00:00:00.000+02:00,42322.119,Hidráulica,Renovable,ccaa,region de murcia
2019-07-09T00:00:00.000+02:00,45071.027,Hidráulica,Renovable,ccaa,region de murcia
2019-07-10T00:00:00.000+02:00,50529.696,Hidráulica,Renovable,ccaa,region de murcia
2019-07-11T00:00:00.000+02:00,63657.342,Hidráulica,Renovable,ccaa,region de murcia
2019-07-12T00:00:00.000+02:00,77312.018,Hidráulica,Renovable,ccaa,region de murcia
2019-07-13T00:00:00.000+02:00,42480.454,Hidráulica,Renovable,ccaa,region de murcia
2019-07-14T00:00:00.000+02:00,34916.936,Hidráulica,Renovable,ccaa,region de murcia
2019-07-15T00:00:00.000+02:00,51546.359,Hidráulica,Renovable,ccaa,region de murcia
2019-07-16T00:00:00.000+02:00,57850.291,Hidráulica,Renovable,ccaa,region de murcia
2019-07-17T00:00:00.000+02:00,55617.077,Hidráulica,Renovable,ccaa,region de murcia
2019-07-18T00:00:00.000+02:00,52367.134,Hidráulica,Renovable,ccaa,region de murcia
