fecha,valor,tipo,energia,region
2019-01-11,10.577923,Otras renovables,Renovable,peninsular
2019-01-11,20.155207,Solar fotovoltaica,Renovable,peninsular
2019-01-11,4.923387,Turbinación bombeo,Almacenamiento,peninsular
2019-01-11,-1.534095,Consumo bombeo,Almacenamiento,peninsular
2019-01-11,8.794158,Motores diésel,No-Renovable,peninsular
2019-01-11,0.008131,Hidroeólica,Renovable,peninsular
2019-01-11,6.208651,Turbina de vapor,No-Renovable,peninsular
2019-01-11,170.28735500000002,Nuclear,No-Renovable,peninsular
2019-01-11,8.547754999999999,Solar térmica,Renovable,peninsular
2019-01-11,528.5456700000001,Generación no renovable,No-Renovable,peninsular
2019-01-11,3.3892919999999997,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-11,142.337797,Ciclo combinado,No-Renovable,peninsular
2019-01-11,100.076417,Carbón,No-Renovable,peninsular
2019-01-11,6.895755,Residuos no renovables,No-Renovable,peninsular
2019-01-11,64.303769,Hidráulica,Renovable,peninsular
2019-01-11,4.772125,Saldo I. internacionales,Demanda,peninsular
2019-01-11,1.921139,Turbina de gas,No-Renovable,peninsular
2019-01-11,224.331694,Eólica,Renovable,peninsular
2019-01-11,867.1818860000001,Demanda en b.c.,Demanda,peninsular
2019-01-11,2.55032,Residuos renovables,Renovable,peninsular
2019-01-12,199.129642,Eólica,Renovable,peninsular
2019-01-12,0.021093,Hidroeólica,Renovable,peninsular
2019-01-12,19.390787,Solar fotovoltaica,Renovable,peninsular
2019-01-12,3.538328,Turbinación bombeo,Almacenamiento,peninsular
2019-01-12,775.170712,Demanda en b.c.,Demanda,peninsular
2019-01-12,8.808329,Motores diésel,No-Renovable,peninsular
2019-01-12,36.415318,Hidráulica,Renovable,peninsular
2019-01-12,-8.704118000000001,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-12,276.26360150000005,Generación renovable,Renovable,peninsular
2019-01-12,170.454101,Nuclear,No-Renovable,peninsular
2019-01-12,8.329778000000001,Solar térmica,Renovable,peninsular
2019-01-12,88.253545,Carbón,No-Renovable,peninsular
2019-01-12,2.3277125,Residuos renovables,Renovable,peninsular
2019-01-12,6.301514,Turbina de vapor,No-Renovable,peninsular
2019-01-12,-12.242446,Consumo bombeo,Almacenamiento,peninsular
2019-01-12,1.1939259999999998,Turbina de gas,No-Renovable,peninsular
2019-01-12,44.620612,Saldo I. internacionales,Demanda,peninsular
2019-01-12,10.649271,Otras renovables,Renovable,peninsular
2019-01-12,6.782466500000001,Residuos no renovables,No-Renovable,peninsular
2019-01-12,87.52855199999999,Cogeneración,No-Renovable,peninsular
2019-01-12,93.668183,Ciclo combinado,No-Renovable,peninsular
2019-01-12,462.9906165,Generación no renovable,No-Renovable,peninsular
2019-01-13,170.14056,Nuclear,No-Renovable,peninsular
2019-01-13,42.369957,Hidráulica,Renovable,peninsular
2019-01-13,8.085109000000001,Solar térmica,Renovable,peninsular
2019-01-13,6.652619,Turbinación bombeo,Almacenamiento,peninsular
2019-01-13,85.302819,Cogeneración,No-Renovable,peninsular
2019-01-13,-11.60193,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-13,89.307051,Carbón,No-Renovable,peninsular
2019-01-13,81.64712399999999,Ciclo combinado,No-Renovable,peninsular
2019-01-13,268.831413,Generación renovable,Renovable,peninsular
2019-01-13,8.078024000000001,Motores diésel,No-Renovable,peninsular
2019-01-13,9.737021,Otras renovables,Renovable,peninsular
2019-01-13,2.00479,Residuos renovables,Renovable,peninsular
2019-01-13,0.896034,Turbina de gas,No-Renovable,peninsular
2019-01-13,722.271171,Demanda en b.c.,Demanda,peninsular
2019-01-13,17.017022,Saldo I. internacionales,Demanda,peninsular
2019-01-13,19.327682,Solar fotovoltaica,Renovable,peninsular
2019-01-13,6.439703000000001,Residuos no renovables,No-Renovable,peninsular
2019-01-13,187.282934,Eólica,Renovable,peninsular
2019-01-13,6.213350999999999,Turbina de vapor,No-Renovable,peninsular
2019-01-13,448.024666,Generación no renovable,No-Renovable,peninsular
2019-01-13,-18.254549,Consumo bombeo,Almacenamiento,peninsular
2019-01-13,0.02392,Hidroeólica,Renovable,peninsular
2019-01-14,53.598566,Hidráulica,Renovable,peninsular
2019-01-14,150.76394,Ciclo combinado,No-Renovable,peninsular
2019-01-14,170.193587,Nuclear,No-Renovable,peninsular
2019-01-14,6.832216000000001,Turbina de vapor,No-Renovable,peninsular
2019-01-14,1.45127,Turbina de gas,No-Renovable,peninsular
2019-01-14,127.771204,Carbón,No-Renovable,peninsular
2019-01-14,-2.604775,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-14,8.398050999999999,Motores diésel,No-Renovable,peninsular
2019-01-14,182.875974,Eólica,Renovable,peninsular
2019-01-14,19.560342,Solar fotovoltaica,Renovable,peninsular
2019-01-14,0.020508,Hidroeólica,Renovable,peninsular
2019-01-14,1.264057,Turbinación bombeo,Almacenamiento,peninsular
2019-01-14,87.719286,Cogeneración,No-Renovable,peninsular
2019-01-14,-3.868832,Consumo bombeo,Almacenamiento,peninsular
2019-01-14,835.75236,Demanda en b.c.,Demanda,peninsular
2019-01-14,275.7261405,Generación renovable,Renovable,peninsular
2019-01-14,1.9806235,Residuos renovables,Renovable,peninsular
2019-01-14,7.871698,Solar térmica,Renovable,peninsular
2019-01-14,9.818429,Otras renovables,Renovable,peninsular
2019-01-14,6.3703885,Residuos no renovables,No-Renovable,peninsular
2019-01-14,3.131052,Saldo I. internacionales,Demanda,peninsular
2019-01-14,559.4999425,Generación no renovable,No-Renovable,peninsular
2019-01-15,87.878039,Cogeneración,No-Renovable,peninsular
2019-01-15,3.917967,Solar térmica,Renovable,peninsular
2019-01-15,10.556719,Otras renovables,Renovable,peninsular
2019-01-15,1.322889,Turbina de gas,No-Renovable,peninsular
2019-01-15,-0.249425,Consumo bombeo,Almacenamiento,peninsular
2019-01-15,17.686258000000002,Solar fotovoltaica,Renovable,peninsular
2019-01-15,846.2455270000002,Demanda en b.c.,Demanda,peninsular
2019-01-15,144.821225,Carbón,No-Renovable,peninsular
2019-01-15,6.252076,Turbina de vapor,No-Renovable,peninsular
2019-01-15,57.560487,Eólica,Renovable,peninsular
2019-01-15,5.026350000000001,Turbinación bombeo,Almacenamiento,peninsular
2019-01-15,81.267421,Hidráulica,Renovable,peninsular
2019-01-15,4.776925,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-15,0.017422,Hidroeólica,Renovable,peninsular
2019-01-15,204.569376,Ciclo combinado,No-Renovable,peninsular
2019-01-15,629.9457175,Generación no renovable,No-Renovable,peninsular
2019-01-15,6.2851395000000005,Residuos no renovables,No-Renovable,peninsular
2019-01-15,1.9769405,Residuos renovables,Renovable,peninsular
2019-01-15,172.9832145,Generación renovable,Renovable,peninsular
2019-01-15,170.579375,Nuclear,No-Renovable,peninsular
2019-01-15,8.237598,Motores diésel,No-Renovable,peninsular
2019-01-15,38.53967,Saldo I. internacionales,Demanda,peninsular
2019-01-16,2.971192,Turbinación bombeo,Almacenamiento,peninsular
2019-01-16,2.101095,Solar térmica,Renovable,peninsular
2019-01-16,6.3442055,Residuos no renovables,No-Renovable,peninsular
2019-01-16,12.628202,Solar fotovoltaica,Renovable,peninsular
2019-01-16,202.123549,Ciclo combinado,No-Renovable,peninsular
2019-01-16,68.547155,Eólica,Renovable,peninsular
2019-01-16,847.9118179999999,Demanda en b.c.,Demanda,peninsular
2019-01-16,32.762019,Saldo I. internacionales,Demanda,peninsular
2019-01-16,10.302566,Otras renovables,Renovable,peninsular
2019-01-16,2.97583,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-16,0.004638,Consumo bombeo,Almacenamiento,peninsular
2019-01-16,149.595269,Carbón,No-Renovable,peninsular
2019-01-16,6.632802,Turbina de vapor,No-Renovable,peninsular
2019-01-16,82.944481,Hidráulica,Renovable,peninsular
2019-01-16,1.886086,Turbina de gas,No-Renovable,peninsular
2019-01-16,633.6577835,Generación no renovable,No-Renovable,peninsular
2019-01-16,0.048492,Hidroeólica,Renovable,peninsular
2019-01-16,7.857683,Motores diésel,No-Renovable,peninsular
2019-01-16,88.63372500000001,Cogeneración,No-Renovable,peninsular
2019-01-16,178.5161855,Generación renovable,Renovable,peninsular
2019-01-16,1.9441945,Residuos renovables,Renovable,peninsular
2019-01-16,170.584464,Nuclear,No-Renovable,peninsular
2019-01-17,602.5093535,Generación no renovable,No-Renovable,peninsular
2019-01-17,86.231912,Eólica,Renovable,peninsular
2019-01-17,6.4373485,Residuos no renovables,No-Renovable,peninsular
2019-01-17,4.042557,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-17,61.579098,Saldo I. internacionales,Demanda,peninsular
2019-01-17,10.130932,Otras renovables,Renovable,peninsular
2019-01-17,149.713658,Carbón,No-Renovable,peninsular
2019-01-17,1.9905775,Residuos renovables,Renovable,peninsular
2019-01-17,0.6459600000000001,Solar térmica,Renovable,peninsular
2019-01-17,4.098064,Turbinación bombeo,Almacenamiento,peninsular
2019-01-17,6.742628,Turbina de vapor,No-Renovable,peninsular
2019-01-17,72.98188400000001,Hidráulica,Renovable,peninsular
2019-01-17,7.9481,Motores diésel,No-Renovable,peninsular
2019-01-17,181.7448245,Generación renovable,Renovable,peninsular
2019-01-17,170.591915,Nuclear,No-Renovable,peninsular
2019-01-17,-0.055507,Consumo bombeo,Almacenamiento,peninsular
2019-01-17,0.060804,Hidroeólica,Renovable,peninsular
2019-01-17,88.13647,Cogeneración,No-Renovable,peninsular
2019-01-17,9.702755,Solar fotovoltaica,Renovable,peninsular
2019-01-17,1.535575,Turbina de gas,No-Renovable,peninsular
2019-01-17,849.875833,Demanda en b.c.,Demanda,peninsular
2019-01-17,171.403659,Ciclo combinado,No-Renovable,peninsular
2019-01-18,187.493253,Ciclo combinado,No-Renovable,peninsular
2019-01-18,101.622441,Hidráulica,Renovable,peninsular
2019-01-18,165.952606,Nuclear,No-Renovable,peninsular
2019-01-18,5.328359000000001,Saldo almacenamiento,Almacenamiento,peninsular
2019-01-18,207.151596,Generación renovable,Renovable,peninsular
2019-01-18,6.422636000000001,Residuos no renovables,No-Renovable,peninsular
2019-01-18,9.927765,Otras renovables,Renovable,peninsular
2019-01-18,6.951118999999999,Turbina de vapor,No-Renovable,peninsular
2019-01-18,153.82162599999998,Carbón,No-Renovable,peninsular
2019-01-18,1.488897,Solar térmica,Renovable,peninsular
2019-01-18,5.473693,Turbinación bombeo,Almacenamiento,peninsular
2019-01-18,-0.145334,Consumo bombeo,Almacenamiento,peninsular
2019-01-18,7.673799,Motores diésel,No-Renovable,peninsular
2019-01-18,2.051994,Residuos renovables,Renovable,peninsular
2019-01-18,89.591184,Cogeneración,No-Renovable,peninsular
2019-01-18,619.4727730000001,Generación no renovable,No-Renovable,peninsular
2019-01-18,79.899715,Eólica,Renovable,peninsular
2019-01-18,0.0834459999999999,Hidroeólica,Renovable,peninsular
2019-01-18,12.077338,Solar fotovoltaica,Renovable,peninsular
2019-01-18,16.829214,Saldo I. internacionales,Demanda,peninsular
2019-01-18,1.56655,Turbina de gas,No-Renovable,peninsular
2019-01-18,848.7819420000001,Demanda en b.c.,Demanda,peninsular
2019-01-19,766.5377199999999,Demanda en b.c.,Demanda,peninsular
2019-01-19,232.922991,Generación renovable,Renovable,peninsular
2019-01-19,500.6844809999999,Generación no renovable,No-Renovable,peninsular
2019-01-19,7.868932,Motores diésel,No-Renovable,peninsular
2019-01-19,0.1763009999999999,Turbinación bombeo,Almacenamiento,peninsular
2019-01-19,1.190062,Turbina de gas,No-Renovable,peninsular
2019-01-19,144.908506,Nuclear,No-Renovable,peninsular
2019-01-19,6.39437,Residuos no renovables,No-Renovable,peninsular
2019-01-19,9.299624,Otras renovables,Renovable,peninsular
